a,b,angle
583.5777587890625,719.1721801757812,36.37653847867419
484.39752197265625,719.0684204101562,39.26367867398258
683.8422241210938,717.515380859375,36.386414936940135
424.7760314941406,711.958984375,35.87898601534302
115.0,709.8927001953125,49.65276436612181
460.6877746582031,706.8861694335938,28.38819204990357
662.8450317382812,702.5181884765625,65.7482490422327
132.34927368164062,701.7510986328125,69.61824016222914
486.82720947265625,697.1727905273438,26.071014494742975
509.76214599609375,695.343994140625,45.43590021220606
473.3918762207031,693.99755859375,52.869753796902486
494.27825927734375,694.0772705078125,50.30213134039025
700.9126586914062,690.0873413085938,22.54099055478486
137.95550537109375,689.7339477539062,42.047072809900435
240.4832000732422,688.7866821289062,39.38018900152098
642.5980224609375,686.6392211914062,75.36042535831622
144.55224609375,682.3667602539062,55.67130936876659
331.5511474609375,679.0670166015625,43.328783603647125
314.9877624511719,676.8273315429688,25.921828149308087
197.4112091064453,674.2266845703125,37.30370215765457
550.0960693359375,668.7068481445312,69.85270957614765
65.5985336303711,669.0652465820312,22.177673957852274
138.8514404296875,666.8330688476562,39.764725917886366
20.997968673706055,661.9937133789062,75.19846750854339
703.5,656.782958984375,42.499208645552685
375.1351013183594,657.5076293945312,38.84993302014293
37.25761032104492,655.1514892578125,38.3307648741423
68.09632110595703,654.4945678710938,38.01095644090184
318.0748596191406,652.6458129882812,30.82774849859663
57.22358322143555,650.2235717773438,34.841797479955936
711.0343627929688,647.568603515625,36.44458311726156
679.74658203125,642.25341796875,36.15221835798872
138.35964965820312,641.6812744140625,45.300188917353786
635.0653076171875,633.752685546875,20.59596269713856
703.0505981445312,629.0997924804688,49.159385480911375
4.018141746520996,624.6911010742188,55.33800065804509
716.2015991210938,620.5009765625,39.993985904321185
593.944580078125,614.9044799804688,48.69454417470742
272.1539611816406,605.1539306640625,27.529246100014397
435.2969665527344,591.7030029296875,30.279536304370346
479.6653747558594,590.8133544921875,38.891802770600606
255.13247680664062,590.6959838867188,40.74756797259571
214.14198303222656,586.6661376953125,28.975757108764494
359.0462646484375,586.6263427734375,45.28677447636272
604.503662109375,577.2173461914062,61.91654263365919
447.4130554199219,556.9400634765625,38.37165929887015
572.7734985351562,554.716552734375,44.20435066323704
706.5760498046875,543.84375,42.45962022813563
680.144287109375,538.6307373046875,44.99217638751709
118.67276000976562,537.1405029296875,54.51079128802054
413.18499755859375,532.52880859375,53.430316711661675
464.3860778808594,532.6138916015625,26.198639582129744
440.7801208496094,532.6343994140625,66.71256169695668
664.4320678710938,530.8633422851562,15.801135127677277
678.835693359375,526.0,3.3899666546454474
650.3861083984375,511.6139221191406,26.198639582129744
678.5697021484375,475.44775390625,18.987285594140644
198.73561096191406,468.295166015625,62.16195184539359
445.8808288574219,464.5321044921875,41.410038915030015
97.96595001220703,460.58477783203125,47.585054630182306
389.90020751953125,435.94940185546875,49.15939074841604
637.035888671875,422.3309020996094,29.371995990891577
